reference	major subtype found	log_likelihood of the reference subtype
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	D	-5058.406066211801
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-5122.369602363958
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	D	-5104.216976120896
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-4755.939531396127
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-4888.3255656961355
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	01_AE	-5007.615247214239
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	A1	-5090.471728398137
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A1	-5102.6911120485565
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-4912.887379520929
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-4988.355513765667
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	A1	-5014.169769362439
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-5031.339967214412
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-4969.203683782242
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	02_AG	-5110.200813848548
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	A1	-5141.110700270816
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-4930.2462097865155
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	D	-5034.945479355638
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	C	-5019.689268224814
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	C	-4925.86584222964
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	F1	-5097.381830292171
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-4865.334355609769
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	C	-4801.751175429633
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	F1	-5045.983108084489
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-4836.772906680202
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-4698.153511383241
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	B	-5137.817314571847
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-5053.30879348812
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	F1	-5077.404203891676
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-4843.182742824653
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-4925.825664881297
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	A1	-4971.731071980116
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	D	-5099.22324740919
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-4828.848826085353
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	B	-5086.585218239927
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-4639.860978404913
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-4929.709048456295
15505,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.06-4	F1	-5017.642713936282
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	A1	-5096.966991336049
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	02_AG	-4771.853146662224
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-5098.031130683952
3703,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-5	33_01B	-4909.8459762572365
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	D	-5182.481176644458
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	13_cpx	-5041.26052495243
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	F2	-5047.641894485178
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	B	-5101.412655117133
