reference	major subtype found	log_likelihood of the reference subtype
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	09_cpx	-4782.634065289301
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	01_AE	-4992.415170594385
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	F1	-4943.08671106147
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	D	-5032.0609834900915
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	01_AE	-5042.281479842018
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	01_AE	-5066.471356010498
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	D	-5014.024957274271
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	D	-5012.096409887406
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	01_AE	-5020.499464589397
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	01_AE	-4877.7997254736665
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-4928.3324700862895
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	A1	-4966.853034154975
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	D	-5042.283114550009
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	40_BF	-5007.926815689317
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	C	-4893.8657631288825
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-4897.6705613870645
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-4955.736134815069
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	D	-4988.823277605635
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	D	-5014.332316165782
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	D	-5016.621290774077
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-4994.217838638714
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	D	-4978.680273939008
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	D	-4960.76882660095
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-4968.932376153921
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	A1	-4996.392083271479
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	01_AE	-4945.191653762339
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	D	-4944.708739814199
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	09_cpx	-4676.608947086278
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-5006.601630335114
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	D	-5000.817480411631
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-4930.283377488119
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-4760.718725009582
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	C	-5026.774804691612
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	B	-4942.115387556115
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	D	-4971.848885387677
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	01_AE	-4743.826553016194
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	C	-4930.044027959533
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	B	-4885.025216486198
635,Ref.H.BE.93.VI997.AF190128,0.04-8	01_AE	-4959.39483531162
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	C	-4933.395722027993
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	C	-5019.874691986993
5755,Ref.A2.CY.94.94CY017_41.AF286237,0.08-1	D	-5037.680563221107
3703,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-5	01_AE	-4940.743254743481
