reference	major subtype found	log_likelihood of the reference subtype
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-11466.688094614865
15296,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.09-1	10_CD	-14224.399645729192
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	49_cpx	-10920.140093108837
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-13391.567415232763
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-3542.396550221461
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-5306.739956590421
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-11966.842238757916
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-5688.785677678906
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-8544.045998973006
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	38_BF1	-13378.666993156528
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-9858.334708367009
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-7637.33107672683
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-5226.161889328378
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-9787.273564326028
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-3774.204494952929
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	19_cpx	-14712.130806611598
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-13038.20223484842
10371,Ref.B.NL.00.671_00T36.AY423387,0.1-2	B	-14528.968770159447
5459,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.08-3	42_BF	-12992.199807197787
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-13601.646473941162
442,Ref.43_02G.SA.03.J11243.EU697907,0.02-8	43_02G	-5370.871836262756
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-4003.7281537044414
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	37_cpx	-12614.545261510106
103,Ref.F1.FR.96.96FR_MP411.AJ249238,0.06-9	F1	-10727.996989956835
12385,Ref.D.CD.83.ELI.K03454,0.03-2	D	-6832.743013381858
12061,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.03-0	04_cpx	-7101.688401333788
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-3718.802916658249
3264,Ref.02_AG.NG.x.IBNG.L39106,0.01-1	02_AG	-3286.3629012196075
13884,Ref.43_02G.SA.03.J11223.EU697904,0.09-8	43_02G	-13310.291259566164
2160,Ref.46_BF.BR.01.01BR125.DQ358802,0.01-6	46_BF	-3746.706877387737
3142,Ref.34_01B.TH.99.OUR2478P.EF165541,0.01-0	34_01B	-3229.9113838062053
10842,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-7	K	-15523.971988027299
7811,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.07-3	33_01B	-12421.955261039013
10443,Ref.C.ZA.04.04ZASK146.AY772699,0.1-5	C	-14274.759191105986
9933,Ref.05_DF.ES.99.X492.AY227107,0.1-1	05_DF	-14353.614780559134
8983,Ref.39_BF.BR.04.04BRRJ179.EU735535,0.05-0	39_BF	-9991.20567717108
7623,Ref.F1.FI.93.FIN9363.AF075703,0.07-2	F1	-11820.843823998604
13409,Ref.05_DF.ES.99.X492.AY227107,0.06-8	05_DF	-11203.414379170554
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-12419.51237519719
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	A2	-13199.31908751147
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-4640.596548987973
14963,Ref.45_cpx.CD.97.97CD_MBFE185.FN392874,0.09-3	45_cpx	-13823.842014733373
3920,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.02-4	10_CD	-5665.215342551168
6947,Ref.13_cpx.CM.96.96CM_1849.AF460972,0.07-5	13_cpx	-12317.955101227712
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	35_AD	-13093.062402349376
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-12240.309073142796
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	13_cpx	-8582.882111661245
4271,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-4	04_cpx	-6997.8205662823
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-5234.039949579527
1131,Ref.D.UG.94.94UG114.U88824,0.02-7	D	-5360.418798830112
14620,Ref.31_BC.BR.04.04BR137.AY727526,0.09-5	31_BC	-14240.459994548291
11842,Ref.05_DF.BE.93.VI961.AF076998,0.03-8	05_DF	-7040.375584737984
524,Ref.10_CD.TZ.96.96TZ_BF061.AF289548,0.04-9	10_CD	-8927.180425193184
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-8505.044478979042
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	49_cpx	-12074.008085213793
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-14375.654609112536
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	F2	-12965.23132956604
4666,Ref.31_BC.BR.04.04BR137.AY727526,0.04-1	31_BC	-8848.968817636065
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	45_cpx	-14799.036559188124
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	28_BF	-12677.472903410378
