reference	major subtype found	log_likelihood of the reference subtype
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-2911.305734880983
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-5725.583340939186
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-4279.5637054739145
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	19_cpx	-7035.079103664663
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	16_A2D	-7893.433935395615
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-7480.455966866353
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	13_cpx	-7188.8516800539455
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-2602.7732790066916
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	37_cpx	-7329.230208943681
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-7730.868379985824
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	18_cpx	-8240.072861612536
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	22_01A1	-8135.85261029895
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-7376.514682153566
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-4894.494593649678
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-2581.4998519960263
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-6587.292599074976
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-3250.309619541687
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-4710.998542654865
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	19_cpx	-8358.418900386549
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-3571.0628004624427
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-5619.861397550785
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-6770.555257133528
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-4969.919627669088
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-2776.227199814336
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-2454.483085716897
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	38_BF1	-7573.3263465249565
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	A2	-7541.817472619325
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-3261.111689679892
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-6982.489911669235
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	49_cpx	-6243.564940792441
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-2575.7552332019245
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-4969.553683799655
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	31_BC	-4356.384976539489
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-7489.089362858909
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-6962.960903359674
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-7964.562138539377
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	36_cpx	-2756.9329624357183
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	28_BF	-7227.418448417494
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	24_BG	-4274.705094802812
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	18_cpx	-8292.069411777768
11473,Ref.11_cpx.CM.97.MP818.AJ291718,0.04-4	11_cpx	-4966.8880291348405
15505,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.06-4	38_BF1	-6380.106220969851
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	45_cpx	-8490.329999455762
635,Ref.H.BE.93.VI997.AF190128,0.04-8	H	-5144.845919779514
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	49_cpx	-6934.948846557336
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	13_cpx	-5107.529842845582
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	04_cpx	-4063.1751776133287
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	23_BG	-8628.355954819122
4099,Ref.47_BF.ES.08.P1942.GQ372987,0.04-5	47_BF	-5258.074552609007
