reference	major subtype found	log_likelihood of the reference subtype
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-3492.9382122401616
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-3335.836755053036
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-4178.708065368377
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	19_cpx	-5348.609822505063
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-5628.026420197878
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	13_cpx	-5393.045909021415
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	37_cpx	-5476.390732260382
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-5746.438789309059
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	16_A2D	-5665.227472453389
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	22_01A1	-5658.619714493966
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-4666.069507693921
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	18_cpx	-5877.704955287211
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-4444.096085394778
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-3780.2244070310185
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-3906.711955730443
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-5489.4328678348875
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-5160.889539077795
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-3318.7731500892814
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-4233.089552232281
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-3161.1571521118617
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-3839.146806875634
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-5185.9378524312015
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	49_cpx	-4800.806145622078
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-3524.5948682622166
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-5497.182659703138
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-3302.6788949698243
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	35_AD	-5485.260782048874
