reference	major subtype found	log_likelihood of the reference subtype
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	37_cpx	-9648.399115142303
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	13_cpx	-9544.641594233404
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	19_cpx	-9329.920724983884
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	16_A2D	-10450.209602750738
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-7488.645390355974
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-10314.282622727012
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-10066.81876194199
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-5513.057104402382
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	22_01A1	-10800.662340581479
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-3365.5249252990325
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	18_cpx	-11055.628706680782
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-9866.776472014952
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-3052.635511837913
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-6423.325189981863
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-8706.976934543683
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-5981.938153000581
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	19_cpx	-11173.275338106561
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-4068.807977641619
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-3091.4596584800815
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-9043.144852181895
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-4478.1819745116745
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-7450.99869362173
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-6483.503822504986
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-4095.0038295087784
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-2898.2773727512663
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-3015.1573130902375
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-10072.774409042917
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	31_BC	-5598.607539847914
