reference	major subtype found	log_likelihood of the reference subtype
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-2837.3941375301524
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	22_01A1	-7124.5603831228345
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	19_cpx	-6225.678856794056
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	13_cpx	-6348.386149640296
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	16_A2D	-6951.8575609537465
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-3948.681507490309
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	37_cpx	-6491.417364534701
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-6795.375386698045
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-6594.2490247334235
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-2543.534597020801
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	18_cpx	-7224.320867778896
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-2510.9609748221974
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-2391.6537383673276
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-5103.071412019383
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-4291.9948759396975
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-6484.933793673459
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-5854.233898795579
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-4442.784744401343
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-3106.3282300632327
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-4520.51278663945
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-3098.5374052774296
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	38_BF1	-6636.98801413406
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-3351.1157541593443
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-6156.354621858892
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-2626.7679115401893
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-5962.500346355621
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-2558.538704171124
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-6580.42166861994
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	49_cpx	-5529.2664132967
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-3096.434976439411
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	24_BG	-3909.528876316328
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	A2	-6653.915823069317
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	31_BC	-3975.3335961677735
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-4509.810891741293
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-5030.687415028131
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	19_cpx	-7324.603895715076
635,Ref.H.BE.93.VI997.AF190128,0.04-8	H	-4673.331317734806
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	35_AD	-6582.745755440944
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-6094.111533818269
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	28_BF	-6379.5718388660125
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	49_cpx	-6119.446709099397
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-6977.136446181266
