reference	major subtype found	log_likelihood of the reference subtype
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	46_BF	-4882.7841408002505
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	01_AE	-5006.0867176151805
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	46_BF	-5082.587189915312
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	F1	-4809.930257839789
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	46_BF	-5031.590163524168
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	40_BF	-5031.722370480971
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	40_BF	-5026.380454146167
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	46_BF	-4980.659533809981
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	46_BF	-5020.469889225063
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	C	-4953.713881223935
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	40_BF	-4983.21928808549
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	10_CD	-5052.156222799219
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	01_AE	-4959.520673001128
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	09_cpx	-4918.136881187277
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	F1	-4970.052947061071
4385,Ref.H.CF.90.056.AF005496,0.03-4	10_CD	-4949.150650525704
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-5015.154971727146
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	10_CD	-5004.979593625392
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	10_CD	-5058.086487486709
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	10_CD	-5035.400429777372
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	46_BF	-5029.860805689979
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-4791.143887783084
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	10_CD	-4760.5585205451025
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	40_BF	-5011.409051695622
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	40_BF	-5031.410803789708
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-4987.907315481902
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	40_BF	-4947.857450450885
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	10_CD	-5046.890316239022
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-5016.712796283763
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	10_CD	-4995.667149417803
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	09_cpx	-4927.2528923760365
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	46_BF	-5014.014104195451
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	D	-4991.803806365288
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	46_BF	-5028.621861825019
442,Ref.43_02G.SA.03.J11243.EU697907,0.02-8	09_cpx	-4915.962067662857
93,Ref.40_BF.BR.04.04BRSQ46.EU735540,0.06-9	40_BF	-5000.798740307201
11473,Ref.11_cpx.CM.97.MP818.AJ291718,0.04-4	10_CD	-4964.98118268477
635,Ref.H.BE.93.VI997.AF190128,0.04-8	10_CD	-4982.955436303234
14432,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.09-4	40_BF	-5085.551181547076
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	40_BF	-5009.041886966281
3978,Ref.02_AG.LR.x.POC44951.AB485636,0.04-5	10_CD	-4973.822280723242
14868,Ref.31_BC.BR.02.110PA.EF091932,0.09-3	10_CD	-5018.743648680501
3307,Ref.A2.CM.01.01CM_1445MV.GU201516,0.01-1	01_AE	-4961.434641680209
8727,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.05-3	10_CD	-4875.613285012096
3563,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.01-9	B	-4860.235098632205
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	C	-5020.88562333751
9894,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-1	46_BF	-5040.110960924502
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	10_CD	-5038.5072553644895
12385,Ref.D.CD.83.ELI.K03454,0.03-2	01_AE	-4949.343283097708
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	09_cpx	-4917.402450224241
5388,Ref.31_BC.BR.02.110PA.EF091932,0.08-3	10_CD	-5013.661861648015
4050,Ref.04_cpx.GR.91.GR11_97PVCH.AF119820,0.04-5	G	-5046.98942347947
9652,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.05-5	10_CD	-4998.007371644486
9096,Ref.06_cpx.AU.96.BFP90.AF064699,0.05-1	D	-4986.184318281123
6503,Ref.D.UG.94.94UG114.U88824,0.08-4	10_CD	-5013.074316597966
8551,Ref.21_A2D.KE.99.KER2003.AF457051,0.05-2	10_CD	-4980.065473624446
4099,Ref.47_BF.ES.08.P1942.GQ372987,0.04-5	D	-4946.571429313214
3047,Ref.F2.CM.95.95CM_MP257.AJ249237,0.01-0	F2	-4916.550841804673
103,Ref.F1.FR.96.96FR_MP411.AJ249238,0.06-9	01_AE	-4972.789026121408
12935,Ref.05_DF.ES.99.X492.AY227107,0.03-5	D	-4938.924067751722
9556,Ref.H.BE.93.VI991.AF190127,0.05-4	10_CD	-4997.823472597942
10842,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-7	10_CD	-5021.105461529947
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-4703.360447529508
15296,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.09-1	10_CD	-5060.060938284271
3264,Ref.02_AG.NG.x.IBNG.L39106,0.01-1	C	-4937.503968525028
372,Ref.F2.CM.02.02CM_0016BBY.AY371158,0.02-8	01_AE	-4801.571984383573
5755,Ref.A2.CY.94.94CY017_41.AF286237,0.08-1	46_BF	-5055.624865001064
2858,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.01-3	18_cpx	-4948.519990783504
1203,Ref.11_cpx.CM.97.MP818.AJ291718,0.02-7	C	-4934.094736058822
7811,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.07-3	01_AE	-5008.686282137274
8983,Ref.39_BF.BR.04.04BRRJ179.EU735535,0.05-0	40_BF	-5002.266911698951
3920,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.02-4	D	-4973.034773309099
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	10_CD	-4949.283604220843
13409,Ref.05_DF.ES.99.X492.AY227107,0.06-8	40_BF	-4974.782573015012
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	10_CD	-4950.22210939303
5431,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.08-3	46_BF	-5075.621510014964
14963,Ref.45_cpx.CD.97.97CD_MBFE185.FN392874,0.09-3	40_BF	-5019.435103896025
7623,Ref.F1.FI.93.FIN9363.AF075703,0.07-2	40_BF	-4991.501147743139
5459,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.08-3	46_BF	-4947.153151556827
13884,Ref.43_02G.SA.03.J11223.EU697904,0.09-8	46_BF	-4982.799620652741
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	40_BF	-4965.866324314274
10720,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-4	46_BF	-5041.242353778176
12061,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.03-0	40_BF	-5009.354447480587
524,Ref.10_CD.TZ.96.96TZ_BF061.AF289548,0.04-9	10_CD	-4961.256961728975
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	C	-4821.211082091601
10391,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.1-2	46_BF	-5042.8091654259515
3142,Ref.34_01B.TH.99.OUR2478P.EF165541,0.01-0	09_cpx	-4903.618137369598
4666,Ref.31_BC.BR.04.04BR137.AY727526,0.04-1	10_CD	-5001.428646304269
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	10_CD	-4819.674098505764
6947,Ref.13_cpx.CM.96.96CM_1849.AF460972,0.07-5	10_CD	-5024.1006880518225
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	46_BF	-5041.689026052769
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	46_BF	-5024.829993228419
3029,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.01-0	09_cpx	-4968.86899001414
15505,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.06-4	40_BF	-5000.954385532101
8429,Ref.C.BR.92.BR025_d.U52953,0.07-9	10_CD	-5015.011448410686
10443,Ref.C.ZA.04.04ZASK146.AY772699,0.1-5	46_BF	-5018.615531838289
2160,Ref.46_BF.BR.01.01BR125.DQ358802,0.01-6	G	-4947.581935197473
9933,Ref.05_DF.ES.99.X492.AY227107,0.1-1	46_BF	-5013.2494176850905
14620,Ref.31_BC.BR.04.04BR137.AY727526,0.09-5	40_BF	-5046.8273983422605
9930,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-1	10_CD	-5038.145835123704
1131,Ref.D.UG.94.94UG114.U88824,0.02-7	D	-4936.155901499739
4271,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-4	G	-4992.355820162173
7870,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.07-3	10_CD	-5022.220792413927
3461,Ref.C.ET.86.ETH2220.U46016,0.01-8	B	-4947.384883795754
5269,Ref.C.BR.92.BR025_d.U52953,0.06-3	10_CD	-5004.161285193556
6745,Ref.24_BG.CU.03.CB378.AY900574,0.07-4	01_AE	-5040.752700396527
14986,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.09-3	10_CD	-5042.986063796181
3968,Ref.A2.CD.97.97CDKTB48.AF286238,0.04-5	40_BF	-4993.540080660373
10371,Ref.B.NL.00.671_00T36.AY423387,0.1-2	40_BF	-5050.805553287711
11842,Ref.05_DF.BE.93.VI961.AF076998,0.03-8	F1	-4963.772012462883
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	10_CD	-4992.841037891838
3493,Ref.18_cpx.CM.97.CM53379.AF377959,0.01-9	C	-4951.033806761548
437,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.02-8	B	-4957.023539069482
11983,Ref.49_cpx.GM.03.N26677.HQ385479,0.03-9	10_CD	-4775.054582917583
11637,Ref.F1.FR.96.96FR_MP411.AJ249238,0.04-3	40_BF	-4946.27198221639
9340,Ref.A2.CD.97.97CDKTB48.AF286238,0.05-7	46_BF	-5002.913199898491
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	C	-4996.637768272772
12956,Ref.23_BG.CU.03.CB347.AY900572,0.03-6	10_CD	-4971.871547496651
3703,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-5	01_AE	-4961.0882494363495
1504,Ref.06_cpx.EE.01.EE0359.AY535659,0.02-1	C	-4952.3447900132
11440,Ref.26_AU.CD.02.02CD_MBTB047.FM877782,0.04-4	D	-4962.090828222889
7624,Ref.33_01B.ID.07.JKT194_C.AB547464,0.07-2	46_BF	-5002.383734169265
507,Ref.25_cpx.SA.03.J11451.EU697908,0.04-9	40_BF	-4961.951536662472
10818,Ref.17_BF.AR.02.AR02_ARG1139.EU581825,0.1-7	46_BF	-5017.62257101498
10826,Ref.06_cpx.EE.01.EE0359.AY535659,0.1-7	10_CD	-5030.379011883848
3753,Ref.H.CF.90.056.AF005496,0.02-5	C	-4941.379212784264
15710,Ref.19_cpx.CU.99.CU29.AY588971,0.06-7	10_CD	-4999.998384283168
13961,Ref.18_cpx.CU.99.CU68.AY894993,0.09-9	10_CD	-4990.510489219787
8425,Ref.G.BE.96.DRCBL.AF084936,0.07-9	40_BF	-4975.570712857144
12975,Ref.21_A2D.KE.99.KER2003.AF457051,0.03-6	D	-4957.036315659515
14206,Ref.46_BF.BR.01.01BR087.DQ358801,0.09-6	46_BF	-5035.22316667709
1845,Ref.20_BG.CU.99.Cu103.AY586545,0.02-3	G	-4937.826798741695
14253,Ref.25_cpx.SA.03.J11451.EU697908,0.09-7	10_CD	-5020.231038278618
10141,Ref.14_BG.ES.00.X605.AF450096,0.1-3	10_CD	-5067.181453718769
13366,Ref.09_cpx.GH.96.96GH2911.AY093605,0.06-8	46_BF	-4978.47555963152
1566,Ref.46_BF.BR.01.01BR087.DQ358801,0.02-1	F1	-4949.02135164527
7442,Ref.31_BC.BR.02.110PA.EF091932,0.07-1	10_CD	-5002.227537412352
9040,Ref.07_BC.CN.05.XJDC6441.EF368370,0.05-1	10_CD	-4985.56748938579
2146,Ref.40_BF.BR.04.04BRRJ115.EU735538,0.01-6	B	-4969.097178561256
8353,Ref.05_DF.ES.99.X492.AY227107,0.07-8	40_BF	-4985.53887926793
5006,Ref.38_BF1.UY.04.UY04_4022.FJ213782,0.08-9	46_BF	-5027.588451061176
11788,Ref.25_cpx.SA.03.J11233.EU697906,0.03-8	F1	-4936.998949236657
15445,Ref.H.CF.90.056.AF005496,0.03-7	10_CD	-4963.352069669859
3131,Ref.12_BF.AR.97.A32879.AF408629,0.01-0	F1	-4953.087643866793
5464,Ref.40_BF.BR.04.04BRRJ115.EU735538,0.08-3	40_BF	-5040.173334022801
13493,Ref.05_DF.BE.x.VI1310.AF193253,0.06-1	10_CD	-5018.243352975459
11640,Ref.46_BF.BR.01.01BR125.DQ358802,0.04-3	46_BF	-4979.90099928362
3311,Ref.31_BC.BR.04.04BR142.AY727527,0.01-1	29_BF	-4966.254629131525
14282,Ref.09_cpx.CI.00.00IC_10092.AJ866553,0.09-7	10_CD	-5042.823176523715
