reference	major subtype found	log_likelihood of the reference subtype
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-4248.373705105286
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-4254.42477119161
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	19_cpx	-5293.105336082461
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-4649.454822014604
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-5503.468549759884
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	13_cpx	-5396.561515664214
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-5582.685943305079
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	22_01A1	-5447.122225677658
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	16_A2D	-5541.281328889422
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	37_cpx	-5419.518883158642
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	18_cpx	-5628.64820682751
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-5257.4178006018
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-4520.994571623517
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-4936.404150408032
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-5389.993302288224
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-5036.9224132166
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-4424.897181540935
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-4725.873278261575
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-4816.155222549215
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	38_BF1	-5451.230369492428
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-4054.890321811355
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-4177.102527880581
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-4871.125936503376
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	A2	-5469.091770811014
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-4508.707275431291
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	19_cpx	-5593.053344312977
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-5229.576784963815
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-5384.161444894562
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-4065.7051637252157
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-5207.861996301108
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	49_cpx	-4865.856812935705
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	31_BC	-4608.125982618547
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-4148.790887964993
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-4731.2777893847
3703,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-5	33_01B	-4376.082930463094
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	24_BG	-4599.009473756095
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	36_cpx	-4143.706626542563
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-5318.819160240775
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-4277.14485204822
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	04_cpx	-4490.075318589839
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	35_AD	-5452.699066334366
635,Ref.H.BE.93.VI997.AF190128,0.04-8	H	-4920.216601640437
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	13_cpx	-4874.76940792335
5755,Ref.A2.CY.94.94CY017_41.AF286237,0.08-1	A2	-5475.988080327741
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	49_cpx	-5190.714138110737
10391,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.1-2	B	-5582.336854333624
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	28_BF	-5423.760487344023
14868,Ref.31_BC.BR.02.110PA.EF091932,0.09-3	31_BC	-5591.357902110959
8727,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.05-3	36_cpx	-4876.7296474341165
372,Ref.F2.CM.02.02CM_0016BBY.AY371158,0.02-8	F2	-4221.7855481932675
4099,Ref.47_BF.ES.08.P1942.GQ372987,0.04-5	47_BF	-4819.199550919923
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	18_cpx	-5607.576886208721
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	F2	-5323.0693368234315
11473,Ref.11_cpx.CM.97.MP818.AJ291718,0.04-4	11_cpx	-4802.809497017931
437,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.02-8	B	-4331.314223100791
10371,Ref.B.NL.00.671_00T36.AY423387,0.1-2	B	-5607.710688492435
3563,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.01-9	42_BF	-4077.5131137414146
15505,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.06-4	38_BF1	-5132.572055983202
5459,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.08-3	42_BF	-5343.999499820281
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-5609.1996740006325
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	45_cpx	-5717.397312435282
442,Ref.43_02G.SA.03.J11243.EU697907,0.02-8	43_02G	-4379.729221259913
3968,Ref.A2.CD.97.97CDKTB48.AF286238,0.04-5	A2	-4872.316708230749
4050,Ref.04_cpx.GR.91.GR11_97PVCH.AF119820,0.04-5	04_cpx	-4870.780045420646
12385,Ref.D.CD.83.ELI.K03454,0.03-2	D	-4581.219456159177
3307,Ref.A2.CM.01.01CM_1445MV.GU201516,0.01-1	A2	-4310.184969448077
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	23_BG	-5673.319435880409
2858,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.01-3	11_cpx	-4268.412773898451
9096,Ref.06_cpx.AU.96.BFP90.AF064699,0.05-1	06_cpx	-4953.414871381075
14432,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.09-4	06_cpx	-5710.333921137343
93,Ref.40_BF.BR.04.04BRSQ46.EU735540,0.06-9	40_BF	-5191.431020236336
1203,Ref.11_cpx.CM.97.MP818.AJ291718,0.02-7	11_cpx	-4413.25860461159
9894,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-1	K	-5861.019361120943
3029,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.01-0	13_cpx	-4329.454600445537
3047,Ref.F2.CM.95.95CM_MP257.AJ249237,0.01-0	F2	-4181.949739466588
6503,Ref.D.UG.94.94UG114.U88824,0.08-4	D	-5356.155329461604
3142,Ref.34_01B.TH.99.OUR2478P.EF165541,0.01-0	34_01B	-3816.00632617149
3978,Ref.02_AG.LR.x.POC44951.AB485636,0.04-5	02_AG	-4720.166352156594
5431,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.08-3	13_cpx	-5495.862461136092
10842,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-7	K	-5703.917631177447
9652,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.05-5	11_cpx	-4982.172012574266
3264,Ref.02_AG.NG.x.IBNG.L39106,0.01-1	02_AG	-4139.761422966276
12935,Ref.05_DF.ES.99.X492.AY227107,0.03-5	05_DF	-4620.947292674346
8551,Ref.21_A2D.KE.99.KER2003.AF457051,0.05-2	21_A2D	-5017.432699235746
5388,Ref.31_BC.BR.02.110PA.EF091932,0.08-3	31_BC	-5434.148448118916
103,Ref.F1.FR.96.96FR_MP411.AJ249238,0.06-9	F1	-5125.825727285071
2160,Ref.46_BF.BR.01.01BR125.DQ358802,0.01-6	46_BF	-4262.375789790411
9556,Ref.H.BE.93.VI991.AF190127,0.05-4	H	-5046.79497602291
15296,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.09-1	10_CD	-5613.544351106389
12061,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.03-0	04_cpx	-4684.424355760185
7811,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.07-3	33_01B	-5297.87825254787
13409,Ref.05_DF.ES.99.X492.AY227107,0.06-8	05_DF	-5135.713444099356
9933,Ref.05_DF.ES.99.X492.AY227107,0.1-1	05_DF	-5575.987623229219
13884,Ref.43_02G.SA.03.J11223.EU697904,0.09-8	43_02G	-5437.827502936759
3920,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.02-4	10_CD	-4488.426658737107
4271,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-4	04_cpx	-4562.001385601492
1131,Ref.D.UG.94.94UG114.U88824,0.02-7	D	-4455.648335817039
7623,Ref.F1.FI.93.FIN9363.AF075703,0.07-2	F1	-5185.114381936296
524,Ref.10_CD.TZ.96.96TZ_BF061.AF289548,0.04-9	10_CD	-4789.237042041394
7870,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.07-3	10_CD	-5306.063452347805
14620,Ref.31_BC.BR.04.04BR137.AY727526,0.09-5	31_BC	-5597.363060162708
6947,Ref.13_cpx.CM.96.96CM_1849.AF460972,0.07-5	13_cpx	-5321.899721708472
10443,Ref.C.ZA.04.04ZASK146.AY772699,0.1-5	C	-5631.3136505672255
11842,Ref.05_DF.BE.93.VI961.AF076998,0.03-8	05_DF	-4589.250430859903
9340,Ref.A2.CD.97.97CDKTB48.AF286238,0.05-7	A2	-5080.006977019452
3461,Ref.C.ET.86.ETH2220.U46016,0.01-8	C	-4321.335073532258
