reference	major subtype found	log_likelihood of the reference subtype
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	16_A2D	-5339.474237086166
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-4754.066504400295
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	13_cpx	-5249.071913898998
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	19_cpx	-5209.409957971814
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-5040.410331812569
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	18_cpx	-5334.919285716048
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	02_AG	-5333.338225122631
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	A1	-5277.969981905188
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-4686.771348840523
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-5292.2487572162345
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-4877.74514859039
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-5249.965237895755
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-4771.73176291047
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-5034.406367851772
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-5132.033636838644
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-4825.699015289825
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	38_BF1	-5263.135848414764
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-5247.131832462739
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-5019.6589006628565
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-4972.613397241452
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	D	-5282.2965801480395
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-4948.120326237213
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-4523.674552235788
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	A2	-5298.212218969049
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-4693.038312461535
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-5180.027590847971
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-5123.074300986474
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-4631.706423681082
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-4833.926688554745
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-4525.15320570841
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	A1	-5286.141813811052
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	49_cpx	-4886.615806093159
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-5136.415451910067
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	49_cpx	-5046.735288943125
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	13_cpx	-5056.773101023221
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	36_cpx	-4665.302796563385
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	B	-5243.620500968182
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	24_BG	-4866.419690454922
635,Ref.H.BE.93.VI997.AF190128,0.04-8	H	-5005.781100290219
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-4730.661992517971
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	F1	-5240.567666400834
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	18_cpx	-5331.260201343611
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	04_cpx	-4857.581955196131
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-5291.957833644875
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	G	-5438.4934773822115
3703,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-5	33_01B	-4835.613255890962
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-4917.894057199435
5755,Ref.A2.CY.94.94CY017_41.AF286237,0.08-1	A2	-5284.847230542372
11473,Ref.11_cpx.CM.97.MP818.AJ291718,0.04-4	11_cpx	-4970.25983323421
437,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.02-8	B	-4730.588335280552
372,Ref.F2.CM.02.02CM_0016BBY.AY371158,0.02-8	F2	-4623.528479464853
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	31_BC	-4882.164554158382
15505,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.06-4	38_BF1	-5132.458448017726
8727,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.05-3	36_cpx	-5000.535125931703
4099,Ref.47_BF.ES.08.P1942.GQ372987,0.04-5	B	-5006.0465136217335
3307,Ref.A2.CM.01.01CM_1445MV.GU201516,0.01-1	A2	-4760.69287837291
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	F2	-5183.277658332669
