reference	major subtype found	log_likelihood of the reference subtype
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	19_cpx	-13893.810959916176
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	16_A2D	-15441.776079983674
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-15382.486865576793
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-8097.7671099440195
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	37_cpx	-14239.44497589702
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	22_01A1	-15953.772632579334
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-4359.535140430406
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-15220.844811335452
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	18_cpx	-16544.588398906406
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	13_cpx	-14217.394558301694
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-14762.884609290655
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-11050.618852640951
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-4084.831073478313
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-12984.316344667523
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	19_cpx	-16621.51397824849
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-8562.048830020338
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-9565.138056184542
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-11172.52486668916
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-13562.641516220738
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-5875.137568565606
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-4153.858763919901
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-6365.414930325451
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	38_BF1	-15141.421623885612
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	49_cpx	-12368.11118593324
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-9685.186056614633
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-14079.053251401425
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-15208.736425262428
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-5983.101149735084
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-5253.965569436275
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-3913.475244249391
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	A2	-14920.238274902036
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-13835.273216001795
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	35_AD	-14816.442646642205
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	49_cpx	-13645.150303098117
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	45_cpx	-16708.144000346816
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-9620.639828001305
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-4054.3339218972046
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-5856.395323520544
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	23_BG	-16917.675611427854
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	18_cpx	-16637.32441396299
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	28_BF	-14347.961395109915
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	31_BC	-8176.67098041778
15505,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.06-4	38_BF1	-12564.293632387496
10371,Ref.B.NL.00.671_00T36.AY423387,0.1-2	B	-16514.96645210332
5755,Ref.A2.CY.94.94CY017_41.AF286237,0.08-1	A2	-15020.488769657746
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	13_cpx	-9669.131787565499
635,Ref.H.BE.93.VI997.AF190128,0.04-8	H	-10037.542455793524
5459,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.08-3	42_BF	-14630.582411060794
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	F2	-14704.215910979976
10391,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.1-2	B	-16045.649965069004
8727,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.05-3	36_cpx	-11493.897459963742
9894,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-1	K	-17378.383173143317
14868,Ref.31_BC.BR.02.110PA.EF091932,0.09-3	31_BC	-15781.089866605924
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-16314.789654141277
93,Ref.40_BF.BR.04.04BRSQ46.EU735540,0.06-9	40_BF	-12927.638279190653
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	36_cpx	-4233.707439432715
442,Ref.43_02G.SA.03.J11243.EU697907,0.02-8	43_02G	-6002.696698979578
14432,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.09-4	06_cpx	-15945.591942370136
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	04_cpx	-7833.359881660176
372,Ref.F2.CM.02.02CM_0016BBY.AY371158,0.02-8	F2	-5750.412648398744
