reference	major subtype found	log_likelihood of the reference subtype
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	22_01A1	-12412.913426047353
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	13_cpx	-10997.613294082623
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	19_cpx	-10753.038938586065
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-8590.405225744253
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-11671.795298998037
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-11901.64671603537
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	16_A2D	-12011.92742201792
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-6310.9511762276525
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-3669.7991618622814
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	37_cpx	-11074.585535285538
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-3370.7196884623336
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-10028.139466422796
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	18_cpx	-12785.88746015237
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-7392.907064074705
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-11401.164586475768
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-3417.354421606279
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	19_cpx	-12883.893811563896
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-6773.094260511611
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-5057.794062109164
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-7469.04133364603
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-4619.266705832182
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-8606.224096532846
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	38_BF1	-11700.631418674151
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-10449.560897244779
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-4678.799048177389
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-10837.029453069168
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-3212.9754447051396
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-11675.3393638621
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	35_AD	-11458.616271179797
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	49_cpx	-9551.14381914324
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-4646.076910276049
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	31_BC	-6393.248553754503
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	A2	-11558.142080166383
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-10724.20071888278
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-7435.5094998783225
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	49_cpx	-10583.92729624483
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	28_BF	-11094.839196757855
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	13_cpx	-7551.4250448117
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	18_cpx	-12851.292266937045
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	24_BG	-6183.557089951328
635,Ref.H.BE.93.VI997.AF190128,0.04-8	H	-7761.361651598365
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-4071.16638252591
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	04_cpx	-6062.061599439541
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-12514.21727943233
10371,Ref.B.NL.00.671_00T36.AY423387,0.1-2	B	-12625.652856368992
5755,Ref.A2.CY.94.94CY017_41.AF286237,0.08-1	A2	-11621.41391959519
3703,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-5	33_01B	-4820.68766397969
8727,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.05-3	36_cpx	-8950.802333828567
11473,Ref.11_cpx.CM.97.MP818.AJ291718,0.04-4	11_cpx	-7486.933088519569
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	36_cpx	-3536.627482050509
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	45_cpx	-12979.329363348497
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	23_BG	-13169.073993935175
4099,Ref.47_BF.ES.08.P1942.GQ372987,0.04-5	47_BF	-7766.141655006237
14868,Ref.31_BC.BR.02.110PA.EF091932,0.09-3	31_BC	-12234.498839038675
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	F2	-11309.963653971734
5459,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.08-3	42_BF	-11444.749734584388
372,Ref.F2.CM.02.02CM_0016BBY.AY371158,0.02-8	F2	-4538.652407879938
15505,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.06-4	38_BF1	-9721.39530462279
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-3332.8243329662646
442,Ref.43_02G.SA.03.J11243.EU697907,0.02-8	43_02G	-4785.2042249955
3563,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.01-9	42_BF	-3403.606256923829
10391,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.1-2	B	-12329.900526345948
5388,Ref.31_BC.BR.02.110PA.EF091932,0.08-3	31_BC	-11579.915536360968
3307,Ref.A2.CM.01.01CM_1445MV.GU201516,0.01-1	A2	-3454.8306888596003
12935,Ref.05_DF.ES.99.X492.AY227107,0.03-5	05_DF	-6284.525277273015
437,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.02-8	B	-4531.165734813658
5431,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.08-3	13_cpx	-11571.927375956197
93,Ref.40_BF.BR.04.04BRSQ46.EU735540,0.06-9	40_BF	-10015.09579341795
6503,Ref.D.UG.94.94UG114.U88824,0.08-4	D	-10779.901377589236
3047,Ref.F2.CM.95.95CM_MP257.AJ249237,0.01-0	F2	-3201.267781004964
3978,Ref.02_AG.LR.x.POC44951.AB485636,0.04-5	02_AG	-7113.559462215665
9096,Ref.06_cpx.AU.96.BFP90.AF064699,0.05-1	06_cpx	-8392.174564232031
3968,Ref.A2.CD.97.97CDKTB48.AF286238,0.04-5	A2	-7795.274376649469
4050,Ref.04_cpx.GR.91.GR11_97PVCH.AF119820,0.04-5	04_cpx	-7574.813432317899
9894,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-1	K	-13572.354808236983
2858,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.01-3	11_cpx	-3398.0365693511753
14432,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.09-4	06_cpx	-12270.46817124829
3029,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.01-0	13_cpx	-3519.6179347102475
1203,Ref.11_cpx.CM.97.MP818.AJ291718,0.02-7	11_cpx	-4783.232828384452
10720,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-4	38_BF1	-13333.89038523436
13884,Ref.43_02G.SA.03.J11223.EU697904,0.09-8	43_02G	-11693.736438482634
15296,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.09-1	10_CD	-12453.74814495093
103,Ref.F1.FR.96.96FR_MP411.AJ249238,0.06-9	F1	-9373.083693184386
9652,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.05-5	11_cpx	-8658.972036310846
9930,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-1	38_BF1	-12774.441424607412
7623,Ref.F1.FI.93.FIN9363.AF075703,0.07-2	F1	-10283.563319567264
10842,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-7	K	-13611.6072374838
9556,Ref.H.BE.93.VI991.AF190127,0.05-4	H	-8501.434583864777
8429,Ref.C.BR.92.BR025_d.U52953,0.07-9	C	-10388.524688925652
14620,Ref.31_BC.BR.04.04BR137.AY727526,0.09-5	31_BC	-12467.105323304238
14963,Ref.45_cpx.CD.97.97CD_MBFE185.FN392874,0.09-3	45_cpx	-12106.377880635177
2865,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.01-3	38_BF1	-3503.407745237909
12385,Ref.D.CD.83.ELI.K03454,0.03-2	D	-5995.508782727914
8983,Ref.39_BF.BR.04.04BRRJ179.EU735535,0.05-0	39_BF	-8769.224255262485
13409,Ref.05_DF.ES.99.X492.AY227107,0.06-8	05_DF	-9812.5831007036
10443,Ref.C.ZA.04.04ZASK146.AY772699,0.1-5	C	-12427.320148129502
9933,Ref.05_DF.ES.99.X492.AY227107,0.1-1	05_DF	-12558.065046358373
524,Ref.10_CD.TZ.96.96TZ_BF061.AF289548,0.04-9	10_CD	-7816.826925437035
6947,Ref.13_cpx.CM.96.96CM_1849.AF460972,0.07-5	13_cpx	-10777.344579942013
14986,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.09-3	38_BF1	-12382.878720079407
3142,Ref.34_01B.TH.99.OUR2478P.EF165541,0.01-0	34_01B	-2892.3313319574727
7811,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.07-3	33_01B	-10864.813539118953
12061,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.03-0	04_cpx	-6267.152011710292
8551,Ref.21_A2D.KE.99.KER2003.AF457051,0.05-2	21_A2D	-8860.512008408732
3264,Ref.02_AG.NG.x.IBNG.L39106,0.01-1	02_AG	-2930.760799726899
4271,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-4	04_cpx	-6141.716251634682
11983,Ref.49_cpx.GM.03.N26677.HQ385479,0.03-9	49_cpx	-6086.4473506069835
11637,Ref.F1.FR.96.96FR_MP411.AJ249238,0.04-3	F1	-7209.4498654394
14392,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.09-4	11_cpx	-12267.993554934928
14536,Ref.23_BG.CU.03.CB347.AY900572,0.09-5	23_BG	-12825.06887779955
9340,Ref.A2.CD.97.97CDKTB48.AF286238,0.05-7	A2	-9109.339422844905
1845,Ref.20_BG.CU.99.Cu103.AY586545,0.02-3	20_BG	-4687.044170046746
6697,Ref.D.CD.83.ELI.K03454,0.07-4	D	-10016.508353870715
1504,Ref.06_cpx.EE.01.EE0359.AY535659,0.02-1	06_cpx	-4796.258264640987
8807,Ref.35_AD.AF.05.05AF026.EF158043,0.05-3	35_AD	-8738.181572846226
14390,Ref.08_BC.CN.97.97CNGX_6F.AY008715,0.09-4	08_BC	-12363.846028472499
11440,Ref.26_AU.CD.02.02CD_MBTB047.FM877782,0.04-4	26_AU	-7523.143975887576
10818,Ref.17_BF.AR.02.AR02_ARG1139.EU581825,0.1-7	17_BF	-13047.708187221353
771,Ref.17_BF.BO.02.BO02_BOL119.EU581827,0.04-8	17_BF	-7634.2956432985
10826,Ref.06_cpx.EE.01.EE0359.AY535659,0.1-7	06_cpx	-12653.758603259867
11410,Ref.07_BC.CN.05.XJDC6441.EF368370,0.04-4	07_BC	-7264.246724637816
11557,Ref.14_BG.ES.00.X623.AF450097,0.04-3	14_BG	-7346.676180324896
2146,Ref.40_BF.BR.04.04BRRJ115.EU735538,0.01-6	40_BF	-3391.342741504387
14603,Ref.A2.CY.94.94CY017_41.AF286237,0.09-5	A2	-12353.516275210002
15223,Ref.C.BR.92.BR025_d.U52953,0.09-1	C	-11931.966560157978
15133,Ref.B.US.98.1058_11.AY331295,0.09-0	B	-11968.895354253553
1944,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-2	09_cpx	-4074.3012873143007
14608,Ref.47_BF.ES.08.X2457_2.FJ670529,0.09-5	47_BF	-12470.122733738375
13712,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.06-0	36_cpx	-9662.0621691606
