reference	major subtype found	log_likelihood of the reference subtype
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-3104.9579307753797
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	16_A2D	-9059.148127201204
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	22_01A1	-9354.869463268305
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-8901.233229451975
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	13_cpx	-8254.920696654182
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	37_cpx	-8386.490861253445
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-8643.188230331187
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-6518.754565904712
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-4823.735067351271
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	19_cpx	-8073.546654692745
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-2780.3628831157644
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	18_cpx	-9516.487012443826
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-8498.576024379141
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-5579.932040456499
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-5286.568027186622
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-2805.4090853546254
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-3595.724975931662
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-7546.3707806541115
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	19_cpx	-9640.535479730755
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-3968.3197506260362
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-5636.020972453833
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-7805.422408582869
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-6435.861326242481
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-3607.310586322147
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-2632.4136283453317
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-3105.6386949857165
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	38_BF1	-8741.512895355603
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-8049.452445065619
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-3655.3314613261023
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	49_cpx	-7168.700021540059
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-8664.42466717399
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-8052.611095965365
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	A2	-8664.79955835085
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-5640.985902005996
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	35_AD	-8590.87599184844
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-2746.6610893670963
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	31_BC	-4910.033223029148
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	28_BF	-8310.244276852489
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	36_cpx	-2959.894250880006
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	23_BG	-9926.880472077002
11473,Ref.11_cpx.CM.97.MP818.AJ291718,0.04-4	11_cpx	-5651.091447464767
372,Ref.F2.CM.02.02CM_0016BBY.AY371158,0.02-8	F2	-3538.757873579645
3978,Ref.02_AG.LR.x.POC44951.AB485636,0.04-5	02_AG	-5318.1631083165685
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-9245.312340483257
8727,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.05-3	36_cpx	-6807.28848194458
4099,Ref.47_BF.ES.08.P1942.GQ372987,0.04-5	47_BF	-5950.730670785418
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	45_cpx	-9750.609007375764
3968,Ref.A2.CD.97.97CDKTB48.AF286238,0.04-5	A2	-5946.345892194631
437,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.02-8	B	-3457.5568056649636
3307,Ref.A2.CM.01.01CM_1445MV.GU201516,0.01-1	A2	-2885.1653521474977
103,Ref.F1.FR.96.96FR_MP411.AJ249238,0.06-9	F1	-7005.0261225905715
2858,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.01-3	11_cpx	-2790.6698709214497
5431,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.08-3	13_cpx	-8688.994199685963
3563,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.01-9	42_BF	-2811.12737017071
93,Ref.40_BF.BR.04.04BRSQ46.EU735540,0.06-9	40_BF	-7521.56382046399
12385,Ref.D.CD.83.ELI.K03454,0.03-2	D	-4563.19165924905
9894,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-1	K	-10235.872113435444
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	F2	-8406.017119697579
5755,Ref.A2.CY.94.94CY017_41.AF286237,0.08-1	A2	-8701.876113515484
635,Ref.H.BE.93.VI997.AF190128,0.04-8	H	-5861.298038949547
3029,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.01-0	13_cpx	-2923.8938785690166
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	04_cpx	-4603.5952109691025
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	49_cpx	-7963.509775714951
14868,Ref.31_BC.BR.02.110PA.EF091932,0.09-3	31_BC	-9169.794600390462
9652,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.05-5	11_cpx	-6523.803393202681
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	24_BG	-4794.069249326689
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	13_cpx	-5774.2964490893255
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	18_cpx	-9579.038116496322
3264,Ref.02_AG.NG.x.IBNG.L39106,0.01-1	02_AG	-2349.311148701677
12935,Ref.05_DF.ES.99.X492.AY227107,0.03-5	05_DF	-4850.979494000313
