reference	major subtype found	log_likelihood of the reference subtype
3556,Ref.37_cpx.CM.00.00CMNYU926.EF116594,0.01-9	37_cpx	-2983.8858095907412
9755,Ref.35_AD.AF.05.05AF026.EF158043,0.05-5	35_AD	-4697.534908465683
2609,Ref.40_BF.BR.05.05BRRJ200.EU735539,0.01-5	40_BF	-2721.7540004843213
7494,Ref.19_cpx.CU.99.CU29.AY588971,0.07-1	19_cpx	-5600.527693924738
6188,Ref.16_A2D.KE.91.KNH1271.AY945736,0.08-6	16_A2D	-6165.104014745225
4385,Ref.H.CF.90.056.AF005496,0.03-4	H	-3861.542487048397
5706,Ref.A2.CD.97.97CDKTB48.AF286238,0.08-1	A2	-6027.698125638904
14658,Ref.02_AG.CM.99.pBD6_15.AY271690,0.09-5	02_AG	-6007.7181233441415
8401,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.07-9	13_cpx	-5731.13790050691
7022,Ref.37_cpx.CM.97.CM53392.AF377957,0.07-6	37_cpx	-5837.78076924786
10084,Ref.18_cpx.CU.99.CU14.AY586541,0.1-0	18_cpx	-6391.809699959112
6292,Ref.18_cpx.CU.99.CU14.AY586541,0.08-6	18_cpx	-5816.93838590082
641,Ref.G.KE.93.HH8793_12_1.AF061641,0.04-8	G	-4258.153386204235
13936,Ref.22_01A1.CM.01.01CM_0001BBY.AY371159,0.09-9	22_01A1	-6252.371136725758
3334,Ref.31_BC.BR.02.110PA.EF091932,0.01-8	31_BC	-2694.23475778869
12278,Ref.22_01A1.CM.02.02CM_3097MN.GQ229529,0.03-1	22_01A1	-4076.7497445222502
15705,Ref.05_DF.BE.x.VI1310.AF193253,0.06-7	05_DF	-5316.621847244358
1545,Ref.B.US.98.1058_11.AY331295,0.02-1	B	-3239.64131887374
5835,Ref.A2.CM.01.01CM_1445MV.GU201516,0.08-1	A2	-5979.322504120362
3845,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.02-4	04_cpx	-3423.4817800414376
3840,Ref.09_cpx.US.99.99DE4057.AY093607,0.02-4	09_cpx	-2733.959186595432
9124,Ref.A1.UG.92.92UG037.AB253429,0.05-1	A1	-4727.551648450458
5551,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.08-2	38_BF1	-5914.218504559684
3499,Ref.14_BG.ES.00.X623.AF450097,0.01-9	14_BG	-2566.793035015375
468,Ref.49_cpx.GM.97.N28353.HQ385478,0.02-8	49_cpx	-3115.830336966334
11043,Ref.19_cpx.CU.99.CU7.AY894994,0.1-6	19_cpx	-6453.448106518094
11625,Ref.G.PT.x.PT2695.AY612637,0.04-3	G	-4304.4277480806795
7618,Ref.07_BC.CN.05.XJDC6441.EF368370,0.07-2	07_BC	-5373.024736648141
2105,Ref.G.BE.96.DRCBL.AF084936,0.01-6	G	-2864.886358082743
13266,Ref.49_cpx.GM.97.N28353.HQ385478,0.06-6	49_cpx	-5017.277761422239
6889,Ref.07_BC.CN.98.98CN009.AF286230,0.07-5	07_BC	-5466.793923149094
14389,Ref.H.GB.00.00GBAC4001.FJ711703,0.09-4	H	-5850.82227480533
1544,Ref.02_AG.CM.99.pBD6_15.AY271690,0.02-1	02_AG	-3228.4380914386757
6742,Ref.46_BF.BR.01.01BR125.DQ358802,0.07-4	46_BF	-5560.346700388971
4618,Ref.11_cpx.CM.96.96CM_4496.AF492623,0.04-1	11_cpx	-4279.043246074059
11708,Ref.31_BC.BR.02.110PA.EF091932,0.03-8	31_BC	-3806.761605305051
2652,Ref.36_cpx.CM.00.00CMNYU830.EF087994,0.01-5	36_cpx	-2809.52642896863
6240,Ref.35_AD.AF.05.05AF094.EF158040,0.08-6	35_AD	-5856.111647894748
4250,Ref.24_BG.ES.08.X2456_2.FJ670526,0.03-3	24_BG	-3795.9486967393536
6999,Ref.49_cpx.GM.02.N18380.HQ385477,0.07-6	49_cpx	-5481.791532092263
6896,Ref.28_BF.BR.99.BREPM12609.DQ085873,0.07-5	28_BF	-5738.1371234029275
5755,Ref.A2.CY.94.94CY017_41.AF286237,0.08-1	A2	-5944.552059855458
635,Ref.H.BE.93.VI997.AF190128,0.04-8	H	-4418.137986381193
11435,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.04-4	13_cpx	-4348.872110130412
11348,Ref.18_cpx.CU.99.CU14.AY586541,0.1-8	18_cpx	-6422.242064792537
10586,Ref.23_BG.CU.03.CB347.AY900572,0.1-4	23_BG	-6608.063010172476
372,Ref.F2.CM.02.02CM_0016BBY.AY371158,0.02-8	F2	-3069.5472446447716
12013,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-0	04_cpx	-3591.9226940851754
10661,Ref.45_cpx.CM.97.97CM_MP814.FN392876,0.1-4	45_cpx	-6592.913762409606
14868,Ref.31_BC.BR.02.110PA.EF091932,0.09-3	31_BC	-6222.066039141926
437,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.02-8	B	-3020.1596159250835
5459,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.08-3	42_BF	-5897.188797858006
14432,Ref.06_cpx.GH.03.03GH173_06.AB286851,0.09-4	06_cpx	-6306.779224358671
4099,Ref.47_BF.ES.08.P1942.GQ372987,0.04-5	47_BF	-4405.973643862869
3307,Ref.A2.CM.01.01CM_1445MV.GU201516,0.01-1	A2	-2850.116676006815
5492,Ref.F2.CM.97.CM53657.AF377956,0.08-3	F2	-5751.090512711522
10137,Ref.D.UG.94.94UG114.U88824,0.1-3	D	-6243.507950970357
442,Ref.43_02G.SA.03.J11243.EU697907,0.02-8	43_02G	-3258.7530323828505
12385,Ref.D.CD.83.ELI.K03454,0.03-2	D	-3740.7429860824645
3968,Ref.A2.CD.97.97CDKTB48.AF286238,0.04-5	A2	-4420.897519030557
10391,Ref.B.FR.83.HXB2_LAI_IIIB_BRU.K03455,0.1-2	B	-6190.78189924257
93,Ref.40_BF.BR.04.04BRSQ46.EU735540,0.06-9	40_BF	-5278.871224885384
15505,Ref.38_BF1.UY.04.UY04_3987.FJ213781,0.06-4	38_BF1	-5145.570045807509
9096,Ref.06_cpx.AU.96.BFP90.AF064699,0.05-1	06_cpx	-4601.145625364758
9894,Ref.K.CM.96.96CM_MP535.AJ249239,0.1-1	K	-6868.2625698310385
3978,Ref.02_AG.LR.x.POC44951.AB485636,0.04-5	02_AG	-4114.200880418005
4050,Ref.04_cpx.GR.91.GR11_97PVCH.AF119820,0.04-5	04_cpx	-4303.974082029986
6503,Ref.D.UG.94.94UG114.U88824,0.08-4	D	-5575.952023464315
12061,Ref.04_cpx.GR.97.GR84_97PVMY.AF119819,0.03-0	04_cpx	-3880.976715272613
3047,Ref.F2.CM.95.95CM_MP257.AJ249237,0.01-0	F2	-2630.8987075933023
2858,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.01-3	11_cpx	-2827.8476036245543
3563,Ref.42_BF.LU.03.luBF_05_03.EU170155,0.01-9	42_BF	-2636.897602331833
1203,Ref.11_cpx.CM.97.MP818.AJ291718,0.02-7	11_cpx	-3244.8315181708263
3264,Ref.02_AG.NG.x.IBNG.L39106,0.01-1	02_AG	-2486.584791639594
12935,Ref.05_DF.ES.99.X492.AY227107,0.03-5	05_DF	-3772.4536935440524
3029,Ref.13_cpx.CM.04.04CM_632_28.DQ845387,0.01-0	13_cpx	-2842.7812181889376
9556,Ref.H.BE.93.VI991.AF190127,0.05-4	H	-4776.378679727022
8551,Ref.21_A2D.KE.99.KER2003.AF457051,0.05-2	21_A2D	-4785.873885096275
103,Ref.F1.FR.96.96FR_MP411.AJ249238,0.06-9	F1	-5082.7097011835895
5431,Ref.13_cpx.CM.02.02CM_A1394.DQ845388,0.08-3	13_cpx	-6007.095189061241
2160,Ref.46_BF.BR.01.01BR125.DQ358802,0.01-6	46_BF	-2682.6978170366315
7811,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.07-3	33_01B	-5614.968419947231
3142,Ref.34_01B.TH.99.OUR2478P.EF165541,0.01-0	34_01B	-2228.747554625977
3703,Ref.33_01B.MY.05.05MYKL007_1.DQ366659,0.02-5	33_01B	-3206.114305414171
10371,Ref.B.NL.00.671_00T36.AY423387,0.1-2	B	-6317.432437378208
11473,Ref.11_cpx.CM.97.MP818.AJ291718,0.04-4	11_cpx	-4271.840678420594
13884,Ref.43_02G.SA.03.J11223.EU697904,0.09-8	43_02G	-6038.278731141153
5388,Ref.31_BC.BR.02.110PA.EF091932,0.08-3	31_BC	-5952.905201213376
9652,Ref.11_cpx.CM.95.95CM_1816.AF492624,0.05-5	11_cpx	-4754.437638667974
15296,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.09-1	10_CD	-6278.021378699227
8727,Ref.36_cpx.CM.00.00CMNYU1162.EF087995,0.05-3	36_cpx	-4829.194276506629
9933,Ref.05_DF.ES.99.X492.AY227107,0.1-1	05_DF	-6287.220865732976
13409,Ref.05_DF.ES.99.X492.AY227107,0.06-8	05_DF	-5196.175150537184
7623,Ref.F1.FI.93.FIN9363.AF075703,0.07-2	F1	-5337.894589354544
6947,Ref.13_cpx.CM.96.96CM_1849.AF460972,0.07-5	13_cpx	-5603.814167258828
4271,Ref.04_cpx.CY.94.94CY032_3.AF049337,0.03-4	04_cpx	-3642.238484429409
4666,Ref.31_BC.BR.04.04BR137.AY727526,0.04-1	31_BC	-4322.137063807605
524,Ref.10_CD.TZ.96.96TZ_BF061.AF289548,0.04-9	10_CD	-4392.999023854333
3920,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.02-4	10_CD	-3348.452977704636
10443,Ref.C.ZA.04.04ZASK146.AY772699,0.1-5	C	-6273.6810649527715
8983,Ref.39_BF.BR.04.04BRRJ179.EU735535,0.05-0	39_BF	-4801.231375774653
14620,Ref.31_BC.BR.04.04BR137.AY727526,0.09-5	31_BC	-6293.3986190124215
1131,Ref.D.UG.94.94UG114.U88824,0.02-7	D	-3341.6236612179714
3461,Ref.C.ET.86.ETH2220.U46016,0.01-8	C	-2830.7721489459136
14963,Ref.45_cpx.CD.97.97CD_MBFE185.FN392874,0.09-3	45_cpx	-6161.783284336262
6745,Ref.24_BG.CU.03.CB378.AY900574,0.07-4	24_BG	-5471.253417149606
7870,Ref.10_CD.TZ.96.96TZ_BF071.AF289549,0.07-3	10_CD	-5547.4062176894895
9340,Ref.A2.CD.97.97CDKTB48.AF286238,0.05-7	A2	-4909.263316565859
11842,Ref.05_DF.BE.93.VI961.AF076998,0.03-8	05_DF	-3764.128505841957
10720,Ref.38_BF1.UY.05.UY05_4752.FJ213780,0.1-4	38_BF1	-6639.312654392975
1845,Ref.20_BG.CU.99.Cu103.AY586545,0.02-3	20_BG	-2938.1008339550935
11637,Ref.F1.FR.96.96FR_MP411.AJ249238,0.04-3	F1	-4128.472638335753
9431,Ref.24_BG.CU.03.CB378.AY900574,0.05-7	24_BG	-4712.59281470261
